Subject,Group,ACC,RT,Condition
39,MD,1,1524,Add
39,MD,1,1161,Add
39,MD,1,1927,Add
39,MD,1,1496,Add
39,MD,1,2098,Control
39,MD,1,2376,Control
39,MD,1,1414,Control
39,MD,1,919,Control
39,MD,1,3278,Add
39,MD,1,3266,Add
39,MD,1,1862,Add
39,MD,1,1528,Add
39,MD,1,3986,Add
39,MD,1,2978,Add
39,MD,1,1556,Add
39,MD,1,3181,Add
39,MD,1,2876,Control
39,MD,1,1183,Control
39,MD,1,1719,Control
39,MD,1,1179,Control
39,MD,1,2662,Control
39,MD,1,3451,Add
39,MD,1,2236,Add
39,MD,1,1508,Add
39,MD,0,0,Add
39,MD,1,1957,Add
39,MD,1,1930,Add
39,MD,1,1840,Add
39,MD,1,1591,Add
39,MD,1,1754,Add
39,MD,1,1963,Add
39,MD,1,1549,Add
39,MD,1,1823,Add
39,MD,1,4822,Add
39,MD,1,2078,Add
39,MD,1,1910,Control
39,MD,1,1257,Control
39,MD,1,1431,Control
39,MD,1,1355,Control
39,MD,1,1880,Control
39,MD,1,3826,Add
39,MD,0,0,Add
39,MD,1,2453,Add
39,MD,1,2351,Add
39,MD,1,1309,Add
39,MD,1,3710,Add
39,MD,1,4600,Add
39,MD,1,2695,Add
39,MD,1,2139,Add
39,MD,1,1811,Add
39,MD,1,1733,Control
39,MD,0,1178,Control
39,MD,1,1402,Control
39,MD,1,1086,Control
214,MD,0,1928,Add
214,MD,1,2199,Add
214,MD,0,3748,Add
214,MD,1,2718,Add
214,MD,0,0,Control
214,MD,1,2598,Control
214,MD,0,1812,Control
214,MD,1,4181,Control
214,MD,1,4735,Add
214,MD,0,3745,Add
214,MD,0,4332,Add
214,MD,0,4812,Add
214,MD,1,3417,Add
214,MD,0,0,Add
214,MD,0,3178,Add
214,MD,0,0,Add
214,MD,1,3932,Add
214,MD,0,1730,Control
214,MD,1,2386,Control
214,MD,0,4023,Control
214,MD,0,0,Control
214,MD,0,0,Add
214,MD,1,3079,Add
214,MD,1,3258,Add
214,MD,1,4614,Add
214,MD,1,4009,Add
214,MD,1,2753,Add
214,MD,0,4159,Add
214,MD,0,0,Add
214,MD,1,4099,Add
214,MD,1,3146,Add
214,MD,1,1789,Add
214,MD,1,1819,Add
214,MD,0,0,Add
214,MD,1,1691,Control
214,MD,1,3381,Control
214,MD,1,2942,Control
214,MD,1,3951,Control
214,MD,1,2963,Control
214,MD,1,2163,Add
214,MD,1,2414,Add
214,MD,0,2882,Add
214,MD,0,3152,Add
214,MD,1,3301,Add
214,MD,0,0,Add
214,MD,0,2509,Add
214,MD,1,4019,Add
214,MD,0,0,Add
214,MD,1,3959,Add
214,MD,0,1474,Control
214,MD,1,3008,Control
214,MD,0,0,Control
214,MD,1,1682,Control
214,MD,0,1963,Control
218,MD,1,1870,Add
218,MD,1,1384,Add
218,MD,1,2390,Add
218,MD,1,1479,Add
218,MD,0,2275,Control
218,MD,1,807,Control
218,MD,1,878,Control
218,MD,1,2995,Control
218,MD,1,2920,Add
218,MD,1,1416,Add
218,MD,1,1232,Add
218,MD,0,1942,Add
218,MD,1,4638,Add
218,MD,1,1757,Add
218,MD,1,2798,Add
218,MD,0,4155,Add
218,MD,1,4550,Add
218,MD,1,1116,Control
218,MD,1,1307,Control
218,MD,1,1103,Control
218,MD,1,2947,Control
218,MD,1,1907,Add
218,MD,0,0,Add
218,MD,0,0,Add
218,MD,0,0,Add
218,MD,0,0,Add
218,MD,0,0,Add
218,MD,0,0,Add
218,MD,0,0,Add
218,MD,0,0,Add
218,MD,1,2423,Add
218,MD,1,3629,Add
218,MD,1,1246,Add
218,MD,1,2245,Add
218,MD,1,1663,Control
218,MD,1,883,Control
218,MD,1,2976,Control
218,MD,1,537,Control
218,MD,1,2603,Control
218,MD,1,4154,Add
218,MD,1,2390,Add
218,MD,1,2231,Add
218,MD,0,2902,Add
218,MD,1,2776,Add
218,MD,0,0,Add
218,MD,1,1755,Add
218,MD,1,2504,Add
218,MD,1,1566,Add
218,MD,1,3915,Add
218,MD,1,1429,Control
218,MD,1,1078,Control
218,MD,1,2050,Control
218,MD,1,3720,Control
218,MD,0,0,Control
236,MD,1,1614,Add
236,MD,1,3026,Add
236,MD,1,2092,Add
236,MD,1,4548,Add
236,MD,1,1636,Control
236,MD,1,1447,Control
236,MD,1,1635,Control
236,MD,1,1507,Control
236,MD,1,3489,Add
236,MD,0,2425,Add
236,MD,1,2870,Add
236,MD,1,2636,Add
236,MD,1,1130,Add
236,MD,1,1898,Add
236,MD,1,1527,Add
236,MD,1,1848,Add
236,MD,1,1174,Add
236,MD,1,2066,Control
236,MD,1,1200,Control
236,MD,1,1922,Control
236,MD,1,961,Control
236,MD,0,1714,Add
236,MD,1,1428,Add
236,MD,0,2343,Add
236,MD,0,1721,Add
236,MD,1,1712,Add
236,MD,1,1490,Add
236,MD,1,2456,Add
236,MD,1,2300,Add
236,MD,0,2841,Add
236,MD,0,1928,Add
236,MD,0,3688,Add
236,MD,1,1990,Add
236,MD,1,3378,Add
236,MD,1,1260,Control
236,MD,0,1211,Control
236,MD,0,882,Control
236,MD,1,1675,Control
236,MD,1,972,Control
236,MD,1,2566,Add
236,MD,0,0,Add
236,MD,0,1328,Add
236,MD,1,1249,Add
236,MD,0,2380,Add
236,MD,0,1216,Add
236,MD,0,0,Add
236,MD,1,1635,Add
236,MD,1,2931,Add
236,MD,1,1342,Add
236,MD,1,1881,Control
236,MD,1,816,Control
236,MD,1,1382,Control
236,MD,1,1222,Control
236,MD,1,1738,Control
258,MD,1,4723,Add
258,MD,1,2943,Add
258,MD,0,3276,Add
258,MD,0,0,Add
258,MD,1,3444,Control
258,MD,1,1451,Control
258,MD,1,2176,Control
258,MD,1,2411,Control
258,MD,1,1237,Control
258,MD,1,2567,Add
258,MD,1,3076,Add
258,MD,1,2741,Add
258,MD,1,1922,Add
258,MD,1,2009,Add
258,MD,1,2154,Add
258,MD,1,3679,Add
258,MD,1,2281,Add
258,MD,1,2276,Add
258,MD,1,1639,Control
258,MD,1,1332,Control
258,MD,1,1236,Control
258,MD,1,1117,Control
258,MD,0,0,Add
258,MD,0,496,Add
258,MD,0,0,Add
258,MD,1,3153,Add
258,MD,1,4556,Add
258,MD,1,1885,Add
258,MD,1,2094,Add
258,MD,1,1705,Add
258,MD,1,2130,Add
258,MD,1,2723,Add
258,MD,1,2764,Add
258,MD,0,4972,Add
258,MD,0,0,Add
258,MD,1,3151,Control
258,MD,1,737,Control
258,MD,1,1472,Control
258,MD,1,1237,Control
258,MD,1,1596,Control
258,MD,1,4699,Add
258,MD,1,4344,Add
258,MD,1,3581,Add
258,MD,1,4585,Add
258,MD,1,4002,Add
258,MD,1,1818,Add
258,MD,1,2072,Add
258,MD,1,2471,Add
258,MD,1,2404,Add
258,MD,1,2652,Add
258,MD,1,2320,Control
258,MD,1,1011,Control
258,MD,1,2117,Control
258,MD,1,596,Control
262,MD,1,1772,Add
262,MD,1,1937,Add
262,MD,1,1691,Add
262,MD,0,1427,Add
262,MD,1,1712,Control
262,MD,1,2333,Control
262,MD,1,1524,Control
262,MD,1,1251,Control
262,MD,1,1184,Control
262,MD,1,2760,Add
262,MD,1,2177,Add
262,MD,1,2996,Add
262,MD,1,3030,Add
262,MD,1,2517,Add
262,MD,1,2080,Add
262,MD,1,1885,Add
262,MD,1,1880,Add
262,MD,1,2532,Control
262,MD,1,1820,Control
262,MD,1,894,Control
262,MD,1,1694,Control
262,MD,1,3000,Add
262,MD,0,4136,Add
262,MD,1,224,Add
262,MD,1,3976,Add
262,MD,0,2955,Add
262,MD,0,0,Add
262,MD,0,3480,Add
262,MD,0,415,Add
262,MD,0,830,Add
262,MD,1,1835,Add
262,MD,0,2879,Add
262,MD,0,208,Add
262,MD,1,937,Add
262,MD,1,632,Add
262,MD,1,1874,Control
262,MD,1,1636,Control
262,MD,1,1020,Control
262,MD,1,1401,Control
262,MD,1,3576,Add
262,MD,1,2839,Add
262,MD,1,3638,Add
262,MD,0,2724,Add
262,MD,0,2926,Add
262,MD,1,1973,Add
262,MD,1,2029,Add
262,MD,1,1938,Add
262,MD,1,1720,Add
262,MD,1,4092,Add
262,MD,1,1530,Control
262,MD,1,1318,Control
262,MD,1,1105,Control
262,MD,1,1900,Control
262,MD,1,771,Control
267,MD,0,2861,Add
267,MD,1,3026,Add
267,MD,1,3096,Add
267,MD,1,2506,Add
267,MD,1,2280,Control
267,MD,1,1172,Control
267,MD,1,1761,Control
267,MD,1,2517,Control
267,MD,1,3267,Add
267,MD,1,3315,Add
267,MD,0,0,Add
267,MD,1,4852,Add
267,MD,1,2404,Add
267,MD,1,2560,Add
267,MD,1,2277,Add
267,MD,0,3748,Add
267,MD,1,1805,Add
267,MD,1,2433,Control
267,MD,1,2094,Control
267,MD,1,1258,Control
267,MD,1,1164,Control
267,MD,1,1281,Control
267,MD,0,0,Add
267,MD,1,4237,Add
267,MD,1,2378,Add
267,MD,1,3233,Add
