,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(Add.MD),3.2977451479595259,0.18191066650332813,2.9362556250032972,3.1770556107085861,3.2976968072098427,3.4159610801552209,3.6601795207658081,0.0051546876684261302
a(Add.TD),3.2975456365914155,0.15666201697666562,2.9955683759467502,3.1928243380171004,3.2960674910702279,3.4032225531067022,3.6056105503807165,0.0041487877410471006
a(Control.MD),3.353188694140234,0.1906663363969188,2.9961489038291771,3.2245228944148905,3.3473488046184201,3.4770940840222542,3.7463493613697816,0.0057782282219590803
a(Control.TD),3.1882836913240684,0.16775120926786136,2.865131397013724,3.0768900800268444,3.1846050470725427,3.2970598563611557,3.5252080907018666,0.0064834449910599083
a(Sub.MD),3.1062977858517522,0.17535937292883716,2.7721873940722155,2.9910607918676329,3.1052505290945396,3.220787939103781,3.4622754037799264,0.0038891704258306333
a(Sub.TD),3.2712119442594862,0.14695108359881473,2.9907059802433613,3.1725474460169183,3.2680193284989483,3.3677306980781241,3.5637018236401485,0.0033443293391306082
a_std,0.58492389804611555,0.066485652386891497,0.46540387311547399,0.53900735155308299,0.57936574644194949,0.62805677283620354,0.72869876583857518,0.0029003359436756302
a_subj(Add.MD).39,3.6679124308241442,0.47429937279805012,2.8820635738594196,3.3319209212329972,3.6212525991832667,3.9435923977779668,4.7529137309541305,0.018620780158999609
a_subj(Add.MD).214,2.9491330214363356,0.26897315710908748,2.4678398612036609,2.7643967771693729,2.9345171751753716,3.1154901181634997,3.5281198528913271,0.0056675640148998183
a_subj(Add.MD).218,3.1219073494536618,0.33667392918646394,2.5349346138788365,2.8805445830654364,3.0977518468744418,3.3362065531997747,3.864004184126312,0.0080378123781511251
a_subj(Add.MD).236,2.5233559431973007,0.22980726965490569,2.1164112836843416,2.3618114590803971,2.5068666084744509,2.6658939384972724,3.0254542419484838,0.0059139461656628704
a_subj(Add.MD).258,4.0830229178959785,0.36893787275081891,3.4145853411610108,3.8314953879075091,4.0598694363995396,4.3143536143449595,4.8815862627973079,0.0080993668058198069
a_subj(Add.MD).262,3.0452827512286365,0.19214959934036657,2.6943526460773328,2.9127068485723089,3.0363809395293924,3.1711631641091986,3.4408083354865036,0.0031116142923783472
a_subj(Add.MD).267,3.218322615902478,0.28800486827926003,2.7071590701790029,3.0133963542227904,3.1977816042393976,3.398692021697975,3.8365672202084009,0.0057005033658978719
a_subj(Add.MD).269,3.0599774275465683,0.29793960204377462,2.5301724467704743,2.8517894159661235,3.0389854385399655,3.2483913034023981,3.710199949008512,0.0076461756381394118
a_subj(Add.MD).293,3.7040195022500324,0.4338787009212422,2.9389353645702023,3.3982731751715747,3.664362684281933,3.9838724858007599,4.6297070893352954,0.014160061550684134
a_subj(Add.MD).320,3.7810230036855752,0.5236970718191537,2.9029051517448718,3.4161538752957181,3.7349204393599154,4.0809991540386612,4.9734916109236131,0.016571532913778823
a_subj(Add.MD).339,3.0694314437232264,0.28610830294797518,2.5681423994001844,2.8635364466779611,3.053064378870209,3.2511484562130324,3.6949655548465592,0.006221818919372654
a_subj(Add.MD).340,2.7310237596217131,0.17779219362495344,2.4037401264009306,2.6063590597904494,2.7228983159765012,2.8454612225380038,3.0976653950944737,0.0028668480393493137
a_subj(Add.MD).346,3.9776738725135452,0.32812452177479268,3.3853350531794169,3.7472423772255921,3.9649560663723578,4.1864141627676412,4.6762931718537128,0.0068061353698066597
a_subj(Add.MD).350,3.2109373154822478,0.39559681670075802,2.5325577026545369,2.9334575998531003,3.174126742373939,3.4571845272750159,4.0653742067476752,0.01229357091356444
a_subj(Add.MD).471,3.8108920201689873,0.49082309713470457,2.9760346878282555,3.470358524972347,3.775619868227543,4.1002764866267274,4.8771781672492036,0.016008122558850448
a_subj(Add.TD).6,1.9835136462130394,0.070221621072184826,1.8506298256873426,1.9365404836317017,1.9809274447309768,2.0286322003408253,2.127738053370714,0.0011830858666327681
a_subj(Add.TD).19,3.1483426193385662,0.28888204208601509,2.6379052283003768,2.949477289151603,3.1318850579974247,3.3251667549274506,3.7699361327062006,0.006435234767843934
a_subj(Add.TD).23,2.9306033446100574,0.29271579356409189,2.4184814251500413,2.7253683385786802,2.9107674712097826,3.1140767941608951,3.5646705316803478,0.0072959184275149941
a_subj(Add.TD).36,3.5562857355720499,0.41235825704757717,2.8419071082531722,3.2663372821372754,3.5288871082751916,3.8088799550050787,4.4786243030701911,0.010680939487314859
a_subj(Add.TD).48,3.3967454594752335,0.34694980962673205,2.7829821883915926,3.1477486195982745,3.3756934911163441,3.6190753012100449,4.1483813756639636,0.010359052965133505
a_subj(Add.TD).62,4.3803602040899596,0.37947759932741998,3.6777443268807284,4.108413072431361,4.3693078567850243,4.6299480682965051,5.1634127130010912,0.0074040081391120562
a_subj(Add.TD).105,3.3307182226839349,0.35696591457845528,2.6971854738000589,3.0858280719708131,3.306877376149524,3.5488925812679382,4.0754420675169758,0.0089555669153935751
a_subj(Add.TD).203,2.8244160876280811,0.2666870865268115,2.3562987926313199,2.6415249965978984,2.8075470766949739,3.0002088606086295,3.4010584464310618,0.0063266069055623987
a_subj(Add.TD).204,3.5065433794458589,0.51161289625481443,2.6502382153896757,3.1399294324126421,3.4505655646658706,3.8184953853613948,4.68288483253267,0.01863689464980698
a_subj(Add.TD).208,3.474151588436881,0.33402589478323325,2.8778436013859867,3.2397862187412132,3.4418309972062349,3.6886213711423754,4.2132050252453555,0.0079685754246282721
a_subj(Add.TD).224,2.5924238873238132,0.26140512597818583,2.1284249868816012,2.4058905934559567,2.5767525396558177,2.7587372914632238,3.1575466408560571,0.0064102381359788328
a_subj(Add.TD).227,3.8145156584894075,0.29842014230547009,3.2693793040912422,3.6089999931266825,3.7997966096678715,4.0055125094284811,4.4488763720252908,0.0059363303833904176
a_subj(Add.TD).238,3.1800380371374222,0.18204513757830712,2.8470860012120682,3.0548319477719224,3.1715795056255507,3.3005051899812989,3.5550429985425036,0.0029473202472575714
a_subj(Add.TD).242,3.812055257450238,0.50725593629169852,2.9579261583512326,3.452346464700156,3.7627127278994097,4.1154578521654477,4.9355876272767913,0.016567736776437234
a_subj(Add.TD).244,3.541972556850939,0.49981536787696512,2.7357890652398056,3.1912755751166308,3.4910081054209741,3.8294738209951591,4.6550326524832801,0.01711866975183491
a_subj(Add.TD).274,3.9854642420817292,0.31959132231823562,3.413323740672829,3.758176300905105,3.9688035481816808,4.1889807482975954,4.6670623697915294,0.0058346543181125232
a_subj(Add.TD).305,3.2146770709756485,0.33016831803990326,2.6266236718689515,2.980879861164333,3.1986778434491474,3.4245820458850602,3.9187578964567877,0.0091392714502272349
a_subj(Add.TD).317,3.7239178510102322,0.49753523896359153,2.9119549630711972,3.3644083343016948,3.6724767501652194,4.022157223786385,4.83772304681459,0.017455056147447655
a_subj(Add.TD).358,3.0451765866554541,0.28980339185084247,2.546822456338695,2.839600826208371,3.0287431456272227,3.2309637456049334,3.6717870951042082,0.0063503173233987924
a_subj(Add.TD).465,3.4934126652527704,0.48101230812345441,2.6845725019192566,3.1563730574694029,3.4512496253397487,3.7765644257942399,4.5842440636410178,0.018126199359921831
a_subj(Control.MD).39,3.0534509190495029,0.39570988531935147,2.3724937371763777,2.777877300030295,3.0276313913831503,3.2930554645558141,3.9217026108694846,0.012240658039310664
a_subj(Control.MD).214,2.9647059028604472,0.25544756114124118,2.5160637836059045,2.7827272383761077,2.948377783562699,3.1207212038315579,3.5022269508738839,0.0054229873800232201
a_subj(Control.MD).218,3.554085018460901,0.40538497265261475,2.8362766494296978,3.265969188197718,3.5360639765550026,3.8182497530511421,4.401132170034745,0.011818325788574575
a_subj(Control.MD).236,2.9222078555186104,0.35061594954103059,2.3216222428764595,2.6692295878674805,2.8960748303798618,3.1393748672380792,3.697099254429201,0.010088710675082376
a_subj(Control.MD).258,3.7237692579246215,0.49276148191519015,2.8478187415255372,3.3731747893568804,3.695335912595592,4.0494366110456719,4.7954043202821923,0.018360975826496768
a_subj(Control.MD).262,3.2861724268284385,0.36479651923401774,2.6476919132908749,3.0295099501184053,3.2608642550706866,3.522566048699626,4.0575199990650219,0.0099188060980513627
a_subj(Control.MD).267,3.4429283560749822,0.2889623824284841,2.9030811704556978,3.2504993259772652,3.4293901859484164,3.6340521852872403,4.0301220123571371,0.006621342129628169
a_subj(Control.MD).269,3.5537240222663602,0.38771793233309187,2.8766159469909529,3.2913932525226928,3.5243057726663354,3.7875882448601312,4.398539321347096,0.010996174331018658
a_subj(Control.MD).293,3.6618808483855552,0.37884446065610067,2.9915397034790354,3.3916706771595986,3.6371305495678778,3.9112621808160699,4.4465159013765927,0.0088976725182550766
a_subj(Control.MD).320,3.4571256009815117,0.45593943043716234,2.6561054398773942,3.1338397457830744,3.4197629186604956,3.7398228589983091,4.4760913423234392,0.011539306755784139
a_subj(Control.MD).339,3.1167589201653878,0.38664127692366385,2.4704989385307474,2.8363040984757015,3.0842591812929463,3.3572183201452654,3.9737393542397723,0.012052211339187425
a_subj(Control.MD).340,2.7676229653875364,0.20466426914544256,2.3846813547738392,2.6311886943843903,2.7608436243787531,2.899591809027811,3.1919443407455637,0.0031599318417776475
a_subj(Control.MD).346,3.2464372983849055,0.38169464420940247,2.5910421245577857,2.9762579483856686,3.2159022298783562,3.4758452211845903,4.1038305462796867,0.011897088071812207
a_subj(Control.MD).350,4.1382684106298964,0.5563644611420695,3.1901487122769439,3.749241811634215,4.0830399315756534,4.4856911896177936,5.3572783256541356,0.020777416698566191
a_subj(Control.MD).471,3.7632017982907606,0.52301825797971135,2.8694728722007405,3.3888192335276264,3.7175602921672679,4.0837915238605609,4.9307180310409988,0.020298609087549289
a_subj(Control.TD).6,2.0999931223588884,0.1061118246085532,1.902642815387392,2.026475672736332,2.0976264952882815,2.1676745084532607,2.3179878393010185,0.001761275076763161
a_subj(Control.TD).19,2.7147406058058556,0.37012818062011799,2.0950946698681507,2.4516340804331378,2.6713119326574324,2.9528513909419467,3.552290964253344,0.013645475873817797
a_subj(Control.TD).23,3.6282116025329305,0.42066696809049342,2.8607401872121412,3.3423453086630404,3.6119839195762973,3.9006677013240711,4.4898251084235135,0.013912348296444898
a_subj(Control.TD).36,3.0446008445824,0.44769142605014389,2.2669610112401632,2.7267699283607825,3.0088896550298796,3.3178842049344639,4.0243509216686775,0.016937061426738606
a_subj(Control.TD).48,3.2761784080814524,0.36671483294471907,2.634932659904917,3.0203292385884266,3.2505403654530358,3.502109910624096,4.0825439587195813,0.01052759527422043
a_subj(Control.TD).62,4.4180446871651409,0.59855007242138569,3.3710241774779375,3.9862407068805803,4.3771230859670602,4.77287265255449,5.7613731230679441,0.022458286885760102
a_subj(Control.TD).105,2.931321812601047,0.33140898623396348,2.3367643064914905,2.6998247456505053,2.9079145731871354,3.1408874705796825,3.6359042218664648,0.01081498318421579
a_subj(Control.TD).203,3.4459403261480488,0.4881791025259658,2.6334542417172133,3.0882992813878287,3.3938009248263858,3.753830654593437,4.5046084918264944,0.018171809418776198
a_subj(Control.TD).204,3.0905224152012751,0.48100137221358569,2.3133200935035454,2.7386549900910859,3.0379608599457844,3.3827631223806049,4.2050870300620558,0.019948154746283597
a_subj(Control.TD).208,2.917438350903522,0.37237571113803764,2.2627057297808317,2.6590259655742967,2.8946875899806814,3.1454963810657484,3.740394872300989,0.012374895309499364
a_subj(Control.TD).224,3.4096616609310271,0.51325500369659649,2.567948224284974,3.0370287943249896,3.3590692453219844,3.7240973124991097,4.5659234800858552,0.021768711466776301
