Subject,ACC,RT,Difficulty,Condition
105,1,1447,Simple,Addition
105,1,1309,Simple,Addition
105,1,1532,Simple,Addition
105,1,2478,Simple,Addition
105,1,2207,Simple,Addition
105,1,2344,Complex,Addition
105,1,2809,Complex,Addition
105,1,3117,Complex,Addition
105,0,3872,Complex,Addition
105,1,2704,Complex,Addition
105,1,3572,Simple,Addition
105,1,3156,Simple,Addition
105,0,0,Simple,Addition
105,1,1996,Simple,Addition
105,1,3289,Complex,Addition
105,1,1659,Complex,Addition
105,1,2178,Complex,Addition
105,1,3706,Complex,Addition
105,0,0,Complex,Addition
105,1,1678,Complex,Addition
105,1,2127,Complex,Addition
105,0,2472,Complex,Addition
105,1,3993,Complex,Addition
105,1,2810,Simple,Addition
105,1,2246,Simple,Addition
105,1,1257,Simple,Addition
105,1,1128,Simple,Addition
105,1,1661,Simple,Addition
105,1,2058,Complex,Addition
105,1,4078,Complex,Addition
105,1,2778,Complex,Addition
105,1,2041,Complex,Addition
105,1,1164,Simple,Addition
105,1,1646,Simple,Addition
105,1,1857,Simple,Addition
105,1,1960,Simple,Addition
19,1,2007,Simple,Addition
19,1,1803,Simple,Addition
19,1,3730,Simple,Addition
19,1,1919,Simple,Addition
19,1,4214,Complex,Addition
19,0,0,Complex,Addition
19,1,4518,Complex,Addition
19,0,3719,Complex,Addition
19,1,3721,Complex,Addition
19,0,3597,Complex,Addition
19,1,2127,Complex,Addition
19,0,3045,Complex,Addition
19,1,3437,Complex,Addition
19,1,2725,Simple,Addition
19,1,2959,Simple,Addition
19,1,2089,Simple,Addition
19,1,2614,Simple,Addition
19,0,2571,Simple,Addition
19,1,1647,Simple,Addition
19,1,2578,Simple,Addition
19,1,1401,Simple,Addition
19,0,2220,Simple,Addition
19,1,3830,Complex,Addition
19,1,2986,Complex,Addition
19,1,3608,Complex,Addition
19,1,1908,Complex,Addition
19,1,2841,Complex,Addition
19,1,1890,Complex,Addition
19,1,3417,Complex,Addition
19,1,3102,Complex,Addition
19,1,4512,Complex,Addition
19,1,2966,Simple,Addition
19,1,2018,Simple,Addition
19,1,2717,Simple,Addition
19,1,3256,Simple,Addition
19,1,1551,Simple,Addition
203,0,3171,Simple,Addition
203,1,1528,Simple,Addition
203,1,2729,Simple,Addition
203,1,1622,Simple,Addition
203,1,2188,Simple,Addition
203,0,4030,Complex,Addition
203,1,1406,Complex,Addition
203,1,1749,Complex,Addition
203,1,1697,Complex,Addition
203,1,2705,Complex,Addition
203,1,1301,Simple,Addition
203,1,1585,Simple,Addition
203,1,1227,Simple,Addition
203,1,1614,Simple,Addition
203,1,1492,Complex,Addition
203,1,2313,Complex,Addition
203,1,4238,Complex,Addition
203,0,2156,Complex,Addition
203,1,1596,Complex,Addition
203,1,2331,Complex,Addition
203,1,993,Complex,Addition
203,1,2732,Complex,Addition
203,0,2320,Complex,Addition
203,1,2075,Simple,Addition
203,1,1224,Simple,Addition
203,1,1182,Simple,Addition
203,1,2150,Simple,Addition
203,1,1000,Simple,Addition
203,1,2604,Simple,Addition
203,1,1266,Simple,Addition
203,1,1594,Simple,Addition
203,1,2522,Simple,Addition
203,1,3275,Complex,Addition
203,1,3082,Complex,Addition
203,0,0,Complex,Addition
203,0,1871,Complex,Addition
204,1,2505,Complex,Addition
204,1,2247,Complex,Addition
204,1,2451,Complex,Addition
204,1,3174,Complex,Addition
204,1,2032,Simple,Addition
204,1,1702,Simple,Addition
204,1,1045,Simple,Addition
204,1,1640,Simple,Addition
204,1,1732,Simple,Addition
204,1,2048,Simple,Addition
204,1,1972,Simple,Addition
204,1,1522,Simple,Addition
204,1,1145,Simple,Addition
204,1,1519,Complex,Addition
204,1,2215,Complex,Addition
204,1,2537,Complex,Addition
204,1,1455,Complex,Addition
204,1,2486,Complex,Addition
204,1,2025,Complex,Addition
204,1,1172,Complex,Addition
204,1,1231,Complex,Addition
204,1,2263,Complex,Addition
204,1,1774,Complex,Addition
204,1,2159,Simple,Addition
204,1,1419,Simple,Addition
204,1,1621,Simple,Addition
204,1,1668,Simple,Addition
204,1,1781,Simple,Addition
204,1,1634,Simple,Addition
204,1,1933,Simple,Addition
204,1,1151,Simple,Addition
204,1,2801,Simple,Addition
204,1,3345,Complex,Addition
204,1,1094,Complex,Addition
204,1,2352,Complex,Addition
204,1,1377,Complex,Addition
227,0,4224,Simple,Addition
227,0,468,Simple,Addition
227,1,1770,Simple,Addition
227,0,0,Simple,Addition
227,0,622,Simple,Addition
227,1,3469,Complex,Addition
227,1,4426,Complex,Addition
227,1,1767,Complex,Addition
227,1,2882,Complex,Addition
227,1,4833,Complex,Addition
227,0,4380,Simple,Addition
227,1,2667,Simple,Addition
227,1,2669,Simple,Addition
227,1,2385,Simple,Addition
227,1,2411,Simple,Addition
227,1,3450,Complex,Addition
227,1,2793,Complex,Addition
227,1,4672,Complex,Addition
227,1,3883,Complex,Addition
227,1,2697,Complex,Addition
227,0,0,Complex,Addition
227,1,3327,Complex,Addition
227,0,4468,Complex,Addition
227,1,2533,Complex,Addition
227,1,4184,Simple,Addition
227,1,2000,Simple,Addition
227,1,2779,Simple,Addition
227,1,3524,Simple,Addition
227,1,3785,Complex,Addition
227,0,2802,Complex,Addition
227,0,0,Complex,Addition
227,0,0,Complex,Addition
227,0,0,Simple,Addition
227,1,2924,Simple,Addition
227,1,4167,Simple,Addition
227,1,2042,Simple,Addition
229,0,3065,Simple,Addition
229,1,1549,Simple,Addition
229,1,2050,Simple,Addition
229,1,2262,Simple,Addition
229,1,2112,Simple,Addition
229,1,3399,Complex,Addition
229,1,3097,Complex,Addition
229,1,1380,Complex,Addition
229,1,2174,Complex,Addition
229,1,2629,Complex,Addition
229,1,2952,Complex,Addition
229,1,1767,Complex,Addition
229,0,3422,Complex,Addition
229,1,3009,Complex,Addition
229,0,2511,Simple,Addition
229,0,539,Simple,Addition
229,1,1952,Simple,Addition
229,1,1733,Simple,Addition
229,1,1907,Simple,Addition
229,1,1961,Simple,Addition
229,1,3416,Simple,Addition
229,1,1374,Simple,Addition
229,1,1602,Complex,Addition
229,1,1311,Complex,Addition
229,1,1362,Complex,Addition
229,1,4741,Complex,Addition
229,1,1817,Simple,Addition
229,1,3259,Simple,Addition
229,1,1740,Simple,Addition
229,1,1745,Simple,Addition
229,1,2606,Simple,Addition
229,1,2103,Complex,Addition
229,1,2661,Complex,Addition
229,1,2221,Complex,Addition
229,1,4204,Complex,Addition
229,0,2553,Complex,Addition
23,0,4093,Complex,Addition
23,0,0,Complex,Addition
23,1,3518,Complex,Addition
23,1,2075,Complex,Addition
23,1,2423,Simple,Addition
23,1,1408,Simple,Addition
23,1,1892,Simple,Addition
23,1,2992,Simple,Addition
23,1,2121,Simple,Addition
23,1,1612,Simple,Addition
23,0,1741,Simple,Addition
23,1,1847,Simple,Addition
23,1,2713,Simple,Addition
23,1,4105,Complex,Addition
23,1,2560,Complex,Addition
23,1,2817,Complex,Addition
23,1,3214,Complex,Addition
23,0,1971,Complex,Addition
23,1,3223,Complex,Addition
23,1,3511,Complex,Addition
23,0,2928,Complex,Addition
23,1,3000,Complex,Addition
23,1,1980,Simple,Addition
23,1,2121,Simple,Addition
23,1,1641,Simple,Addition
23,1,2020,Simple,Addition
23,1,1730,Complex,Addition
23,1,2703,Complex,Addition
23,1,2810,Complex,Addition
23,1,3127,Complex,Addition
23,1,2902,Complex,Addition
23,1,2077,Simple,Addition
23,1,1913,Simple,Addition
23,1,1882,Simple,Addition
23,1,2191,Simple,Addition
23,1,2879,Simple,Addition
236,1,1614,Complex,Addition
236,1,3026,Complex,Addition
236,1,2092,Complex,Addition
236,1,4548,Complex,Addition
236,1,3489,Simple,Addition
236,0,2425,Simple,Addition
236,1,2870,Simple,Addition
236,1,2636,Simple,Addition
236,1,1130,Complex,Addition
236,1,1898,Complex,Addition
236,1,1527,Complex,Addition
236,1,1848,Complex,Addition
236,1,1174,Complex,Addition
236,0,1714,Simple,Addition
236,1,1428,Simple,Addition
236,0,2343,Simple,Addition
236,0,1721,Simple,Addition
236,1,1712,Simple,Addition
236,1,1490,Simple,Addition
236,1,2456,Simple,Addition
236,1,2300,Simple,Addition
236,0,2841,Simple,Addition
236,0,1928,Complex,Addition
236,0,3688,Complex,Addition
236,1,1990,Complex,Addition
236,1,3378,Complex,Addition
236,1,2566,Complex,Addition
236,0,0,Complex,Addition
236,0,1328,Complex,Addition
236,1,1249,Complex,Addition
236,0,2380,Complex,Addition
236,0,1216,Simple,Addition
236,0,0,Simple,Addition
236,1,1635,Simple,Addition
236,1,2931,Simple,Addition
236,1,1342,Simple,Addition
238,1,3503,Complex,Addition
238,1,4908,Complex,Addition
238,1,3280,Complex,Addition
238,0,0,Complex,Addition
238,1,3253,Simple,Addition
238,1,2758,Simple,Addition
238,1,3260,Simple,Addition
238,1,3645,Simple,Addition
238,0,0,Simple,Addition
238,0,0,Simple,Addition
238,1,2701,Simple,Addition
238,1,2855,Simple,Addition
238,1,3828,Complex,Addition
238,1,2408,Complex,Addition
238,1,3463,Complex,Addition
