,RT,response_time,stimulus_time,accuracy,trialID,subject,task,session
0,750,39.454,38.704,1,14,100307,0bk,RL
1,673,41.95,41.277,1,15,100307,0bk,RL
2,1179,45.028,43.849,1,16,100307,0bk,RL
3,748,47.169,46.42100000000001,1,17,100307,0bk,RL
4,725,49.718,48.993,1,18,100307,0bk,RL
5,607,52.173,51.566,1,19,100307,0bk,RL
6,630,54.768,54.138000000000005,1,20,100307,0bk,RL
7,571,57.281000000000006,56.71,1,21,100307,0bk,RL
8,752,60.035,59.283,1,22,100307,0bk,RL
9,649,62.504,61.855,1,23,100307,0bk,RL
10,1093,111.088,109.995,1,37,100307,0bk,RL
11,571,113.126,112.555,1,38,100307,0bk,RL
12,885,115.99799999999999,115.113,1,39,100307,0bk,RL
13,898,118.57,117.67200000000001,1,40,100307,0bk,RL
14,852,121.083,120.23100000000001,0,41,100307,0bk,RL
15,774,123.564,122.79,1,42,100307,0bk,RL
16,813,126.162,125.34899999999999,1,43,100307,0bk,RL
17,804,128.71200000000002,127.90799999999999,1,44,100307,0bk,RL
18,1004,131.471,130.467,1,45,100307,0bk,RL
19,839,133.865,133.026,1,46,100307,0bk,RL
20,788,153.886,153.09799999999998,1,49,100307,0bk,RL
21,707,156.377,155.67,1,50,100307,0bk,RL
22,857,159.099,158.24200000000002,1,51,100307,0bk,RL
23,1029,161.844,160.815,1,52,100307,0bk,RL
24,649,164.03599999999997,163.387,1,53,100307,0bk,RL
25,911,166.87,165.959,1,54,100307,0bk,RL
26,773,169.305,168.532,1,55,100307,0bk,RL
27,589,171.68,171.09099999999998,1,56,100307,0bk,RL
28,672,174.322,173.65,1,57,100307,0bk,RL
29,694,176.916,176.222,1,58,100307,0bk,RL
30,975,225.47099999999998,224.49599999999998,1,72,100307,0bk,RL
31,1294,228.34900000000002,227.055,1,73,100307,0bk,RL
32,1408,231.02200000000002,229.614,1,74,100307,0bk,RL
33,1786,233.959,232.173,0,75,100307,0bk,RL
34,575,235.30599999999998,234.731,1,76,100307,0bk,RL
35,549,237.83900000000003,237.29,1,77,100307,0bk,RL
36,1672,241.521,239.84900000000002,1,78,100307,0bk,RL
37,0,-69.189,242.408,0,79,100307,0bk,RL
38,1005,245.972,244.967,1,80,100307,0bk,RL
39,1704,249.23,247.52599999999998,0,81,100307,0bk,RL
0,490,11.059000000000001,10.569,1,3,100307,2bk,RL
1,1001,14.142000000000001,13.140999999999998,1,4,100307,2bk,RL
2,1297,16.997,15.7,1,5,100307,2bk,RL
3,1494,19.767,18.273,0,6,100307,2bk,RL
4,1112,21.956999999999997,20.845,1,7,100307,2bk,RL
5,1445,24.849,23.404,1,8,100307,2bk,RL
6,1322,27.285,25.963,0,9,100307,2bk,RL
7,799,29.320999999999998,28.522,1,10,100307,2bk,RL
8,1185,32.266,31.081,0,11,100307,2bk,RL
9,1281,34.921,33.64,0,12,100307,2bk,RL
10,550,82.463,81.913,1,26,100307,2bk,RL
11,602,85.074,84.47200000000001,1,27,100307,2bk,RL
12,976,88.007,87.031,1,28,100307,2bk,RL
13,726,90.316,89.59,1,29,100307,2bk,RL
14,1072,93.221,92.149,0,30,100307,2bk,RL
15,0,-69.189,94.708,0,31,100307,2bk,RL
16,1512,98.779,97.26700000000001,1,32,100307,2bk,RL
17,836,100.662,99.82600000000001,1,33,100307,2bk,RL
18,706,103.09100000000001,102.385,1,34,100307,2bk,RL
19,668,105.61200000000001,104.944,1,35,100307,2bk,RL
20,1311,182.597,181.28599999999997,1,60,100307,2bk,RL
21,642,184.50099999999998,183.859,1,61,100307,2bk,RL
22,827,187.25799999999998,186.43099999999998,1,62,100307,2bk,RL
23,598,189.601,189.003,1,63,100307,2bk,RL
24,537,192.113,191.576,1,64,100307,2bk,RL
25,682,194.83,194.148,1,65,100307,2bk,RL
26,596,197.31599999999997,196.72,1,66,100307,2bk,RL
27,877,200.17,199.293,1,67,100307,2bk,RL
28,993,202.858,201.865,1,68,100307,2bk,RL
29,1050,205.487,204.437,1,69,100307,2bk,RL
30,1574,254.165,252.59099999999998,1,83,100307,2bk,RL
31,995,256.158,255.16299999999998,1,84,100307,2bk,RL
32,625,258.361,257.736,1,85,100307,2bk,RL
33,819,261.11400000000003,260.295,1,86,100307,2bk,RL
34,1037,263.89099999999996,262.85400000000004,1,87,100307,2bk,RL
35,1085,266.498,265.413,0,88,100307,2bk,RL
36,1040,269.025,267.985,1,89,100307,2bk,RL
37,640,271.197,270.557,1,90,100307,2bk,RL
38,889,274.018,273.129,1,91,100307,2bk,RL
39,801,276.503,275.702,1,92,100307,2bk,RL
0,1686,40.376999999999995,38.691,1,14,100408,0bk,RL
1,1016,42.278999999999996,41.263000000000005,1,15,100408,0bk,RL
2,1837,45.672,43.835,1,16,100408,0bk,RL
3,0,-190.36599999999999,46.408,0,17,100408,0bk,RL
4,835,49.815,48.98,1,18,100408,0bk,RL
5,1376,52.928000000000004,51.552,0,19,100408,0bk,RL
6,1676,55.8,54.123999999999995,1,20,100408,0bk,RL
7,1316,58.013000000000005,56.696999999999996,1,21,100408,0bk,RL
8,1166,60.435,59.269,1,22,100408,0bk,RL
9,1207,63.048,61.841,1,23,100408,0bk,RL
10,0,-190.36599999999999,109.98200000000001,0,37,100408,0bk,RL
11,1023,113.564,112.541,1,38,100408,0bk,RL
12,940,116.04,115.1,1,39,100408,0bk,RL
13,1182,118.84100000000001,117.65899999999999,1,40,100408,0bk,RL
14,1070,121.301,120.23100000000001,1,41,100408,0bk,RL
15,857,123.647,122.79,1,42,100408,0bk,RL
16,769,126.118,125.34899999999999,1,43,100408,0bk,RL
17,1086,128.994,127.90799999999999,1,44,100408,0bk,RL
18,1041,131.50799999999998,130.467,1,45,100408,0bk,RL
19,890,133.916,133.026,1,46,100408,0bk,RL
20,812,153.89600000000002,153.084,1,49,100408,0bk,RL
21,990,156.64700000000002,155.657,1,50,100408,0bk,RL
22,1304,159.533,158.22899999999998,1,51,100408,0bk,RL
23,700,161.501,160.80100000000002,1,52,100408,0bk,RL
24,561,163.93400000000003,163.373,1,53,100408,0bk,RL
25,984,166.93,165.946,1,54,100408,0bk,RL
26,896,169.40099999999998,168.505,1,55,100408,0bk,RL
27,954,172.03099999999998,171.077,1,56,100408,0bk,RL
28,662,174.298,173.636,1,57,100408,0bk,RL
29,641,176.84900000000002,176.208,1,58,100408,0bk,RL
30,0,-190.36599999999999,224.482,0,72,100408,0bk,RL
31,1657,228.69799999999998,227.041,1,73,100408,0bk,RL
32,1105,230.705,229.6,1,74,100408,0bk,RL
33,1305,233.46400000000003,232.15900000000002,1,75,100408,0bk,RL
34,862,235.58,234.718,1,76,100408,0bk,RL
35,815,238.092,237.27700000000002,1,77,100408,0bk,RL
36,783,240.61900000000003,239.83599999999998,1,78,100408,0bk,RL
37,617,243.012,242.395,1,79,100408,0bk,RL
38,796,245.75,244.954,1,80,100408,0bk,RL
39,531,248.044,247.513,1,81,100408,0bk,RL
0,992,11.547,10.555,1,3,100408,2bk,RL
1,1511,14.639000000000001,13.128,1,4,100408,2bk,RL
2,841,16.528,15.687000000000001,0,5,100408,2bk,RL
3,1035,19.294,18.259,1,6,100408,2bk,RL
4,1582,22.413,20.831,1,7,100408,2bk,RL
5,1251,24.641,23.39,1,8,100408,2bk,RL
6,1619,27.568,25.949,1,9,100408,2bk,RL
7,1461,29.969,28.508000000000003,1,10,100408,2bk,RL
8,1053,32.12,31.066999999999997,0,11,100408,2bk,RL
9,1077,34.703,33.626,1,12,100408,2bk,RL
10,1256,83.156,81.9,1,26,100408,2bk,RL
11,1042,85.501,84.459,1,27,100408,2bk,RL
12,1134,88.152,87.01799999999999,1,28,100408,2bk,RL
13,1101,90.678,89.57700000000001,1,29,100408,2bk,RL
14,1256,93.39200000000001,92.13600000000001,1,30,100408,2bk,RL
15,1944,96.639,94.695,0,31,100408,2bk,RL
16,1521,98.775,97.25399999999999,1,32,100408,2bk,RL
17,1161,100.97399999999999,99.81299999999999,0,33,100408,2bk,RL
18,1205,103.57600000000001,102.37100000000001,1,34,100408,2bk,RL
19,1525,106.455,104.93,1,35,100408,2bk,RL
20,1755,183.028,181.273,1,60,100408,2bk,RL
21,1145,184.99,183.845,1,61,100408,2bk,RL
22,944,187.361,186.417,1,62,100408,2bk,RL
23,1558,190.548,188.99,1,63,100408,2bk,RL
24,1565,193.127,191.562,1,64,100408,2bk,RL
