user_id,ACC,RT,answer,finished,n1,n2,points,problem,problem_id,solution,trial,session,exp_id,row_num
2zbxhrq6oINRwEO97FQhBPb40m62,1,15.795,1,0,8,5,1,8 + 5 = 11,9,13,1,1476989019565,SP_verification,25
2zbxhrq6oINRwEO97FQhBPb40m62,1,12.177,0,0,7,5,2,7 + 5 = 12,7,12,2,1476989019565,SP_verification,26
2zbxhrq6oINRwEO97FQhBPb40m62,1,27.21,0,0,6,3,4,6 + 3 = 9,4,9,3,1476989019565,SP_verification,27
2zbxhrq6oINRwEO97FQhBPb40m62,1,27.08,1,0,9,6,5,9 + 6 = 13,11,15,4,1476989019565,SP_verification,28
2zbxhrq6oINRwEO97FQhBPb40m62,1,9.474,1,0,9,4,6,9 + 4 = 11,8,13,5,1476989019565,SP_verification,29
2zbxhrq6oINRwEO97FQhBPb40m62,1,10.549,0,0,5,2,7,5 + 2 = 7,2,7,6,1476989019565,SP_verification,30
2zbxhrq6oINRwEO97FQhBPb40m62,1,12.894,1,0,6,2,10,6 + 2 = 7,3,8,8,1476989019565,SP_verification,32
2zbxhrq6oINRwEO97FQhBPb40m62,1,13.685,1,0,5,4,11,5 + 4 = 11,5,9,9,1476989019565,SP_verification,33
2zbxhrq6oINRwEO97FQhBPb40m62,1,11.845,0,0,8,6,12,8 + 6 = 14,10,14,10,1476989019565,SP_verification,34
2zbxhrq6oINRwEO97FQhBPb40m62,1,6.438,0,0,4,2,13,4 + 2 = 6,1,6,11,1476989019565,SP_verification,35
2zbxhrq6oINRwEO97FQhBPb40m62,1,5.994,1,0,7,3,14,7 + 3 = 12,6,10,12,1476989019565,SP_verification,36
2zbxhrq6oINRwEO97FQhBPb40m62,1,10.527,1,0,5,2,18,5 + 2 = 5,2,7,15,1476989019565,SP_verification,39
2zbxhrq6oINRwEO97FQhBPb40m62,1,10.455,0,0,9,4,19,9 + 4 = 13,8,13,16,1476989019565,SP_verification,40
2zbxhrq6oINRwEO97FQhBPb40m62,1,6.792,1,0,7,3,20,7 + 3 = 11,6,10,17,1476989019565,SP_verification,41
2zbxhrq6oINRwEO97FQhBPb40m62,1,9.042,0,0,7,5,21,7 + 5 = 12,7,12,18,1476989019565,SP_verification,42
2zbxhrq6oINRwEO97FQhBPb40m62,1,14.177,0,0,8,6,22,8 + 6 = 14,10,14,19,1476989019565,SP_verification,43
2zbxhrq6oINRwEO97FQhBPb40m62,1,15.363,1,0,9,6,23,9 + 6 = 17,11,15,20,1476989019565,SP_verification,44
2zbxhrq6oINRwEO97FQhBPb40m62,1,7.693,0,0,6,2,26,6 + 2 = 8,3,8,23,1476989019565,SP_verification,47
2zbxhrq6oINRwEO97FQhBPb40m62,1,9.26,1,1,9,7,28,9 + 7 = 13,12,16,24,1476989019565,SP_verification,48
2zbxhrq6oINRwEO97FQhBPb40m62,0,3.698,no_answer,0,7,8,0,7 + 8 = ?,11,15,1,1476989494167,SP_production_timed,49
2zbxhrq6oINRwEO97FQhBPb40m62,0,5.134,no_answer,0,7,8,0,7 + 8 = ?,11,15,2,1476989494167,SP_production_timed,50
2zbxhrq6oINRwEO97FQhBPb40m62,0,6.269,no_answer,0,7,8,0,7 + 8 = ?,11,15,3,1476989494167,SP_production_timed,51
2zbxhrq6oINRwEO97FQhBPb40m62,0,6.951,no_answer,0,3,5,0,3 + 5 = ?,3,8,4,1476989494167,SP_production_timed,52
